recenzent,opiekun
32,29
32,29
32,29
29,32
32,18
47,91
74,92
73,76
33,78
78,33
33,78
78,93
33,78
81,33
94,59
86,87
12,13
13,53
95,38
95,38
96,23
31,63
50,31
50,31
31,54
31,54
31,54
58,57
43,28
32,18
2,97
33,78
33,78
15,89
15,89
15,89
25,51
30,25
30,91
98,4
99,38
99,38
49,5
31,49
60,63
78,21
60,6
32,29
29,1
63,62
63,62
28,101
43,28
43,64
26,27
26,34
61,34
60,16
50,67
50,67
73,76
42,9
94,102
94,102
78,33
20,3
1,1
31,4
83,4
103,83
15,89
7,6
60,65
31,89
15,89
89,15
68,69
14,27
94,102
82,59
25,3
50,31
65,42
68,69
20,27
25,47
63,62
63,64
55,56
56,81
60,16
44,45
31,56
66,16
43,88
43,88
43,88
43,88
43,88
66,16
45,44
105,104
26,46
64,79
63,79
74,92
43,88
88,43
43,88
100,17
42,9
