recenzent,opiekun
65,42
64,65
64,65
60,65
107,106
31,49
31,49
31,49
49,5
31,5
31,5
31,55
31,55
50,55
55,5
55,5
25,36
19,36
48,36
36,48
103,81
103,81
13,14
14,13
14,53
14,12
14,12
14,12
32,17
103,83
103,83
103,83
103,87
103,87
103,86
103,86
103,86
103,86
66,7
66,7
56,89
56,89
56,89
89,56
89,56
28,5
28,5
83,85
69,51
56,2
92,72
90,72
50,49
13,53
70,39
70,39
33,93
33,93
33,93
78,93
78,93
78,93
23,11
91,11
91,25
91,19
91,19
91,78
91,47
32,29
29,32
29,32
29,32
29,1
29,1
16,6
16,6
60,62
63,62
63,62
60,65
65,6
65,42
65,42
69,51
64,79
64,79
79,64
79,64
79,33
79,33
73,72
90,7
71,9
71,9
90,71
90,71
90,71
107,71
45,44
44,45
44,101
44,101
88,101
28,43
55,54
56,55
31,5
33,81
16,57
60,58
