recenzent,opiekun
34,37
27,34
61,34
34,61
60,62
60,62
63,62
63,62
23,48
60,16
16,6
7,6
60,63
60,63
60,63
64,63
58,64
58,64
58,64
64,65
64,65
7,66
60,66
16,66
44,45
44,45
44,45
43,45
50,67
50,67
23,11
23,11
69,68
69,68
69,68
68,69
68,69
69,68
71,7
71,7
71,7
71,7
70,72
72,73
73,72
74,72
75,74
77,76
78,33
33,78
64,79
61,1
10,1
1,1
31,54
42,8
42,8
42,8
42,8
81,33
81,33
81,33
33,82
81,82
82,81
82,59
59,82
59,82
59,82
38,61
33,21
21,78
21,78
78,21
84,83
84,83
84,83
83,85
83,85
81,82
81,33
13,14
25,3
25,3
25,3
87,86
87,86
87,86
87,86
86,87
76,73
76,73
49,56
77,76
77,76
24,21
78,21
88,63
89,15
28,5
42,8
39,35
37,14
19,2
20,24
13,24
84,4
84,4
71,9
28,5
28,5
