data,godz,przew
17,1,2
17,2,2
17,3,2
17,4,2
17,5,2
17,6,2
17,7,2
17,14,2
18,2,1
18,3,1
18,4,1
18,5,1
18,6,1
18,7,1
18,8,1
18,9,1
18,10,1
18,11,1
18,12,1
18,13,1
18,14,1
18,1,2
18,2,2
18,3,2
18,4,2
18,5,2
18,6,2
18,7,2
18,8,2
18,9,2
19,9,1
19,10,1
19,11,1
19,12,1
19,13,1
19,14,1
19,10,2
19,11,2
19,12,2
19,14,2
19,15,2
19,16,2
19,17,2
19,18,2
20,2,1
20,3,1
21,1,2
21,2,2
21,3,2
21,2,2
21,3,2
21,4,2
21,5,2
21,6,2
21,7,2
21,8,2
21,9,2
22,3,2
22,6,2
22,7,2
23,2,2
23,3,2
23,4,2
23,5,2
23,6,2
24,3,1
24,2,2
24,12,2
25,2,1
25,3,1
25,7,1
26,3,2
26,4,2
27,2,1
27,3,1
27,4,1
28,3,1
29,2,1
29,3,1
29,4,1
30,5,1
31,4,1
31,5,1
32,5,1
33,2,1
34,3,1
35,9,1
36,3,1
36,4,1
36,5,1
36,6,1
37,3,1
37,4,1
38,3,1
38,4,1
38,5,1
38,6,1
38,7,1
38,8,1
39,3,1
39,4,1
39,5,1
40,5,1
41,3,1
41,4,1
41,5,1
42,3,1
42,4,1
42,5,1
42,6,1
42,7,1



